Year,SMW,temperature_2m_mean (°c),dew_point_2m_max (°c),relative_humidity_2m_max (%),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),surface_pressure_mean (hpa),surface_pressure_max (hpa),surface_pressure_min (hpa),wind_speed_10m_mean (km/h),vapour_pressure_deficit_max (kpa),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_28_to_100cm_mean (m³/m³),soil_temperature_0_to_100cm_mean (°c),soil_temperature_0_to_7cm_mean (°c),soil_temperature_28_to_100cm_mean (°c),soil_temperature_7_to_28cm_mean (°c),soil_moisture_7_to_28cm_mean (m³/m³)
2015,1,,,,,,,,,,,,,,,,,,
2015,2,,,,,,,,,,,,,,,,,,
2015,3,,,,,,,,,,,,,,,,,,
2015,4,,,,,,,,,,,,,,,,,,
2015,5,,,,,,,,,,,,,,,,,,
2015,6,24.066666666666666,15.366666666666667,73.66666666666667,53.5,38.833333333333336,1012.7333333333332,1015.2333333333332,1010.6333333333333,12.583333333333334,2.4566666666666666,0.29266666666666663,0.24933333333333332,0.30083333333333334,26.46666666666667,26.75,26.400000000000002,26.683333333333334,0.278
2015,7,23.942857142857143,17.257142857142856,86.0,60.57142857142857,36.142857142857146,1011.4,1014.1285714285714,1009.4714285714286,9.242857142857144,2.6942857142857144,0.29128571428571426,0.24914285714285714,0.299,26.814285714285713,26.928571428571427,26.785714285714285,26.885714285714283,0.278
2015,8,26.014285714285712,18.271428571428572,83.14285714285714,55.142857142857146,32.857142857142854,1010.7285714285715,1013.4142857142857,1008.657142857143,9.428571428571429,3.174285714285714,0.28957142857142854,0.24857142857142858,0.2968571428571428,27.62857142857143,28.857142857142858,27.285714285714285,28.37142857142857,0.278
2015,9,22.2,17.214285714285715,89.0,63.142857142857146,40.857142857142854,1010.2285714285715,1012.4285714285714,1007.9142857142857,13.285714285714286,2.0385714285714287,0.2934285714285714,0.3148571428571429,0.2951428571428571,26.985714285714288,25.32857142857143,27.414285714285715,26.099999999999998,0.2804285714285714
2015,10,25.771428571428572,15.657142857142857,74.28571428571429,49.57142857142857,33.142857142857146,1012.8571428571429,1015.3571428571429,1010.6,11.971428571428572,3.0785714285714287,0.29128571428571426,0.28828571428571426,0.2942857142857143,27.0,27.771428571428572,26.87142857142857,27.214285714285715,0.2822857142857143
2015,11,26.32857142857143,18.25714285714286,80.57142857142857,53.142857142857146,34.57142857142857,1012.3571428571429,1015.0571428571428,1009.8142857142857,12.714285714285714,2.968571428571429,0.28757142857142853,0.25985714285714284,0.2925714285714286,28.085714285714285,29.3,27.728571428571428,28.87142857142857,0.28
2015,12,29.842857142857145,17.47142857142857,63.57142857142857,42.857142857142854,28.428571428571427,1009.7857142857143,1012.4285714285714,1007.3714285714286,11.557142857142859,4.187142857142858,0.2854285714285714,0.24985714285714286,0.2904285714285714,29.457142857142856,32.4,28.67142857142857,31.185714285714287,0.279
2015,13,28.685714285714287,23.114285714285717,89.85714285714286,61.714285714285715,37.285714285714285,1008.9714285714286,1011.3714285714286,1006.7714285714285,11.642857142857142,3.255714285714286,0.28385714285714286,0.24857142857142858,0.2887142857142857,30.557142857142857,32.528571428571425,29.97142857142857,32.02857142857143,0.279
2015,14,27.2,22.614285714285717,90.42857142857143,70.71428571428571,47.0,1006.8142857142857,1009.1999999999999,1004.8571428571429,14.657142857142857,2.492857142857143,0.2827142857142857,0.24871428571428572,0.28757142857142853,30.599999999999998,31.514285714285712,30.32857142857143,31.24285714285714,0.27814285714285714
2015,15,27.67142857142857,23.728571428571428,92.0,73.71428571428571,50.57142857142857,1009.2428571428571,1011.4285714285714,1006.6999999999999,14.299999999999999,2.295714285714286,0.2831428571428571,0.2611428571428571,0.287,30.642857142857142,31.614285714285717,30.32857142857143,31.285714285714285,0.278
2015,16,30.542857142857144,24.014285714285712,89.71428571428571,60.57142857142857,35.42857142857143,1007.2857142857143,1010.0142857142857,1004.8571428571429,11.357142857142858,3.7657142857142856,0.2831428571428571,0.2671428571428572,0.28585714285714287,31.47142857142857,33.885714285714286,30.814285714285713,33.028571428571425,0.278
2015,17,29.314285714285713,24.614285714285717,88.14285714285714,69.28571428571429,45.0,1007.2714285714285,1009.657142857143,1005.3714285714286,18.714285714285715,2.8614285714285717,0.281,0.2507142857142857,0.285,31.82857142857143,33.2,31.385714285714283,32.8,0.278
2015,18,30.47142857142857,25.057142857142857,91.0,65.28571428571429,37.57142857142857,1006.5714285714286,1008.9285714285714,1004.4571428571428,14.057142857142859,3.5799999999999996,0.2804285714285714,0.24871428571428572,0.2844285714285714,32.357142857142854,34.457142857142856,31.74285714285714,33.68571428571429,0.278
