Year,SMW,temperature_2m_mean (°c),dew_point_2m_max (°c),relative_humidity_2m_max (%),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),surface_pressure_mean (hpa),surface_pressure_max (hpa),surface_pressure_min (hpa),wind_speed_10m_mean (km/h),vapour_pressure_deficit_max (kpa),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_28_to_100cm_mean (m³/m³),soil_temperature_0_to_100cm_mean (°c),soil_temperature_0_to_7cm_mean (°c),soil_temperature_28_to_100cm_mean (°c),soil_temperature_7_to_28cm_mean (°c),soil_moisture_7_to_28cm_mean (m³/m³)
2015,1,27.28,23.34,84.0,72.6,59.8,1006.6600000000001,1008.4799999999999,1004.72,19.619999999999997,1.7099999999999997,0.1936,0.1802,0.196,30.2,30.4,30.1,30.559999999999995,0.19
2015,2,27.74,23.22,78.0,71.0,62.0,1008.68,1010.5200000000001,1006.72,15.780000000000001,1.638,0.29819999999999997,0.22519999999999998,0.31520000000000004,28.96,28.96,29.02,28.880000000000003,0.264
2015,3,,,,,,,,,,,,,,,,,,
2015,4,,,,,,,,,,,,,,,,,,
2015,5,24.6,19.15,82.0,64.5,47.5,1009.9,1012.25,1007.2,12.1,1.955,0.1775,0.1855,0.1815,28.15,27.85,28.299999999999997,27.950000000000003,0.1595
2015,6,28.442857142857143,24.62857142857143,85.28571428571429,76.57142857142857,64.57142857142857,1007.4857142857143,1009.3857142857142,1005.6285714285714,18.0,1.6142857142857143,0.2681428571428571,0.2144285714285714,0.2784285714285714,30.099999999999998,30.52857142857143,29.985714285714288,30.32857142857143,0.25057142857142856
2015,7,25.9,17.7,61.0,54.0,48.0,1012.5,1014.1,1010.2,16.3,2.1,0.212,0.127,0.233,28.9,28.0,29.1,28.6,0.166
2015,8,,,,,,,,,,,,,,,,,,
2015,9,24.5,19.4,81.5,64.5,48.5,1010.0,1012.9,1008.1,13.7,1.8050000000000002,0.1765,0.172,0.1815,28.05,27.6,28.200000000000003,27.8,0.16
2015,10,28.485714285714288,24.485714285714288,85.28571428571429,75.85714285714286,64.42857142857143,1007.5857142857143,1009.2285714285715,1005.7571428571429,16.599999999999998,1.5971428571428572,0.266,0.20914285714285713,0.277,30.12857142857143,30.599999999999998,29.985714285714288,30.414285714285715,0.24628571428571427
2015,11,25.7,18.7,58.0,52.0,47.0,1013.0,1015.3,1011.1,14.6,2.18,0.21,0.126,0.232,28.8,27.8,29.0,28.3,0.166
2015,12,,,,,,,,,,,,,,,,,,
2015,13,,,,,,,,,,,,,,,,,,
2015,14,27.53333333333333,23.266666666666666,85.0,73.16666666666667,59.833333333333336,1006.5666666666666,1008.6833333333334,1004.6,17.016666666666666,1.7249999999999999,0.21783333333333332,0.19383333333333333,0.22133333333333335,29.883333333333336,30.333333333333332,29.783333333333335,30.116666666666664,0.21366666666666667
2015,15,27.3,22.5,83.75,70.0,58.25,1010.725,1012.775,1008.625,9.725,1.7525,0.27425,0.17625000000000002,0.29825,29.15,29.05,29.175,29.175,0.2255
2015,16,,,,,,,,,,,,,,,,,,
2015,17,,,,,,,,,,,,,,,,,,
2015,18,27.65,22.6,88.25,69.75,54.25,1007.6,1009.65,1005.5,12.275,2.045,0.1685,0.138,0.17475000000000002,30.4,31.5,30.1,31.0,0.1575
